Variable,Variable Label,Value,Value Label
P_PANEL,Sample type,1,ABS
,,2,Amerispeak
NATIONAL_WEIGHT,Weight used for national sample (P_PANEL=2 cases). Normalized weight (n=sample size).,N/A,N/A
REGION_WEIGHT,Weight used for regional samples. Normalized weight (n=sample size).,N/A,N/A
NATIONA_WEIGHT_POP,Weight used for national sample (P_PANEL=2 cases). Population weight (n=population size).,N/A,N/A
REGION_WEIGHT_POP,Weight used for regional samples. Population weight (n=population size).,N/A,N/A
P_GEO,Geographic area (State and MSA),1,(1) California
,,2,(2) Colorado
,,3,(3) Florida
,,4,(4) Louisiana
,,5,(5) Minnesota
,,6,(6) Missouri
,,7,(7) Montana
,,8,(8) New York
,,9,(9) Oregon
,,10,(10) Texas
,,11,"(11) Atlanta-Sandy Springs-Alpharetta, Georgia"
,,12,"(12) Baltimore-Columbia-Towson, Maryland"
,,13,"(13) Birmingham-Hoover, Alabama"
,,14,"(14) Chicago-Naperville-Elgin, Illinois-Indiana-Wisconsin"
,,15,"(15) Cleveland-Elyria, Ohio"
,,16,"(16) Columbus, Ohio"
,,17,"(17) Phoenix-Mesa-Chandler, Arizona"
,,18,"(18) Pittsburgh, Pennsylvania"
SOC1,"Generally speaking, would you say that you can trust all the people, most of the people, some of the people, or none of the people in your neighborhood?",1,(1) All
,,2,(2) Most
,,3,(3) Some
,,4,(4) None
,,77,(77) DON'T KNOW
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
SOC2A,"In the past month, how often did you talk with any of your neighbors?",1,(1) Basically every day
,,2,(2) A few times a week
,,3,(3) A few times a month
,,4,(4) Once a month
,,5,(5) Not at all
,,77,(77) Not sure
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
SOC2B,"During a typical month prior to March 1, 2020, when COVID-19 began spreading in the United States, how often did you talk with any of your neighbors?",1,(1) Basically every day
,,2,(2) A few times a week
,,3,(3) A few times a month
,,4,(4) Once a month
,,5,(5) Not at all
,,77,(77) Not sure
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
SOC3A,"In the past month, how often did you communicate with friends and family by phone, text, email, app, or using the Internet?",1,(1) Basically every day
,,2,(2) A few times a week
,,3,(3) A few times a month
,,4,(4) Once a month
,,5,(5) Not at all
,,77,(77) Not sure
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
SOC3B,"During a typical month prior to March 1, 2020, when COVID-19 began spreading in the United States, how often did you communicate with friends and family by phone, text, email, app, or using the Internet?",1,(1) Basically every day
,,2,(2) A few times a week
,,3,(3) A few times a month
,,4,(4) Once a month
,,5,(5) Not at all
,,77,(77) Not sure
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
SOC4A,"In the past month, did you spend any time volunteering for any organization or association, or not?",1,(1) Yes
,,2,(2) No
,,77,(77) Not sure
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
SOC4B,"During a typical month prior to March 1, 2020, when COVID-19 began spreading in the United States, did you spend any time volunteering for any organization or association, or not?",1,(1) Yes
,,2,(2) No
,,77,(77) Not sure
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
PHYS8,"Would you say your health in general is excellent, very good, good, fair, or poor?",1,(1) Excellent
,,2,(2) Very good
,,3,(3) Good
,,4,(4) Fair
,,5,(5) Poor
,,77,(77) DON'T KNOW
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
PHYS1A,"[Fever] Have you experienced any of the following symptoms in the past 7 days, or not?",1,(1) Yes
,,2,(2) No
,,77,(77) Not sure
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
PHYS1B,"[Chills] Have you experienced any of the following symptoms in the past 7 days, or not?",1,(1) Yes
,,2,(2) No
,,77,(77) Not sure
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
PHYS1C,"[Runny or stuffy nose] Have you experienced any of the following symptoms in the past 7 days, or not?",1,(1) Yes
,,2,(2) No
,,77,(77) Not sure
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
PHYS1D,"[Chest congestion] Have you experienced any of the following symptoms in the past 7 days, or not?",1,(1) Yes
,,2,(2) No
,,77,(77) Not sure
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
PHYS1E,"[Skin rash] Have you experienced any of the following symptoms in the past 7 days, or not?",1,(1) Yes
,,2,(2) No
,,77,(77) Not sure
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
PHYS1F,"[Cough] Have you experienced any of the following symptoms in the past 7 days, or not?",1,(1) Yes
,,2,(2) No
,,77,(77) Not sure
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
PHYS1G,"[Sore throat] Have you experienced any of the following symptoms in the past 7 days, or not?",1,(1) Yes
,,2,(2) No
,,77,(77) Not sure
,,98,(98) SKIPPED ON WEB
,,99,(99) REFUSED
PHYS1H,"[Sneezing] Have you experienced any of the following symptoms in the past 7 days, or not?",1,(1) Yes
,,2,(2) No
